date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:44	389680/389680	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226638b8aa-5f230%22	https://templates.hibootstrap.com/pizi/default/assets/fonts/boxicons.eot	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/fonts/boxicons.eot	(from https://templates.hibootstrap.com/pizi/default/assets/css/boxicons.min.css)
16:26:45	114992/114992	---M--	200	added ('OK')	font/woff2	etag:%226638b8aa-1c130%22	https://templates.hibootstrap.com/pizi/default/assets/fonts/boxicons.woff2	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/fonts/boxicons.woff2	(from https://templates.hibootstrap.com/pizi/default/assets/css/boxicons.min.css)
16:26:46	308768/308768	---M--	200	added ('OK')	font/woff	etag:%226638b8aa-4b620%22	https://templates.hibootstrap.com/pizi/default/assets/fonts/boxicons.woff	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/fonts/boxicons.woff	(from https://templates.hibootstrap.com/pizi/default/assets/css/boxicons.min.css)
16:26:47	308692/308692	---M--	200	added ('OK')	application/octet-stream	etag:%226638b8aa-4b5d4%22	https://templates.hibootstrap.com/pizi/default/assets/fonts/boxicons.ttf	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/fonts/boxicons.ttf	(from https://templates.hibootstrap.com/pizi/default/assets/css/boxicons.min.css)
16:26:49	479078/479078	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-79c6f%22	https://templates.hibootstrap.com/pizi/default/assets/img/home1/2.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/home1/2.jpg	(from https://templates.hibootstrap.com/pizi/default/assets/css/style.css)
16:26:49	1194767/1194767	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226638b8aa-123b0f%22	https://templates.hibootstrap.com/pizi/default/assets/fonts/boxicons.svg?	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/fonts/boxiconsd41d.svg	(from https://templates.hibootstrap.com/pizi/default/assets/css/boxicons.min.css)
16:26:49	626212/626212	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-9d8d8%22	https://templates.hibootstrap.com/pizi/default/assets/img/home1/3.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/home1/3.jpg	(from https://templates.hibootstrap.com/pizi/default/assets/css/style.css)
16:26:50	439548/439548	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-6b504%22	https://templates.hibootstrap.com/pizi/default/assets/img/inner-banner/5.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/inner-banner/5.jpg	(from https://templates.hibootstrap.com/pizi/default/assets/css/style.css)
16:26:50	540480/540480	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-88578%22	https://templates.hibootstrap.com/pizi/default/assets/img/home1/1.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/home1/1.jpg	(from https://templates.hibootstrap.com/pizi/default/assets/css/style.css)
16:26:51	102761/102761	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-19169%22	https://templates.hibootstrap.com/pizi/default/assets/img/testimonial/1.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/testimonial/1.jpg	(from https://templates.hibootstrap.com/pizi/default/assets/css/style.css)
16:26:52	106466/106466	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-19fea%22	https://templates.hibootstrap.com/pizi/default/assets/img/about/4.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/about/4.jpg	(from https://templates.hibootstrap.com/pizi/default/assets/css/style.css)
16:26:52	235249/235249	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-396f9%22	https://templates.hibootstrap.com/pizi/default/assets/img/home3/1.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/home3/1.jpg	(from https://templates.hibootstrap.com/pizi/default/assets/css/style.css)
16:26:52	226606/226606	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-37536%22	https://templates.hibootstrap.com/pizi/default/assets/img/home3/2.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/home3/2.jpg	(from https://templates.hibootstrap.com/pizi/default/assets/css/style.css)
16:26:52	369090/369090	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-5edb6%22	https://templates.hibootstrap.com/pizi/default/assets/img/home2.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/home2.jpg	(from https://templates.hibootstrap.com/pizi/default/assets/css/style.css)
16:26:52	457317/457317	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-6fa6d%22	https://templates.hibootstrap.com/pizi/default/assets/img/home3/3.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/home3/3.jpg	(from https://templates.hibootstrap.com/pizi/default/assets/css/style.css)
16:26:53	60162/60162	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-eb0a%22	https://templates.hibootstrap.com/pizi/default/assets/img/blog/4.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/blog/4.jpg	(from https://templates.hibootstrap.com/pizi/default/assets/css/style.css)
16:26:53	272915/272915	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-42a1b%22	https://templates.hibootstrap.com/pizi/default/assets/img/1.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/1.jpg	(from https://templates.hibootstrap.com/pizi/default/assets/css/style.css)
